sto,x,y,wald,wald_max,versiegelt
2651,4313730.235551718,3161314.0638601254,4.458157062530518,64,56.5385627746582
2652,4313830.261363068,3161312.6960099554,15.04188060760498,64,17.123430252075195
2653,4313930.2871596245,3161311.328163874,3.255234479904175,59,9.20444393157959
2654,4314030.312941354,3161309.9603218795,4.8188910484313965,67,4.655636787414551
2655,4314130.3387082275,3161308.5924839717,10.562888145446777,58,31.955402374267578
2656,4314230.364460211,3161307.2246501506,11.042340278625488,62,28.451183319091797
2657,4314330.390197279,3161305.856820415,12.545951843261719,70,35.32217025756836
2658,4314430.415919396,3161304.4889947725,23.76129722595215,70,31.1812744140625
2659,4314530.441626534,3161303.121173218,2.2241482734680176,56,73.76583099365234
2660,4314630.467318661,3161301.753355751,0.9078482389450073,75,43.104732513427734
2661,4314730.492995747,3161300.385542376,72.1650390625,93,3.214827060699463
2662,4314830.518657761,3161299.017733089,14.072583198547363,90,0
2663,4314930.544304672,3161297.6499278937,0,0,0
2664,4315030.569936451,3161296.28212679,0,0,0
2665,4315130.595553065,3161294.914329777,0,0,0
2666,4315230.621154484,3161293.5465368563,0,0,0
2667,4315330.646740678,3161292.178748028,0,0,0
2668,4315430.672311618,3161290.8109632917,12.433402061462402,78,16.582012176513672
2669,4315530.69786727,3161289.4431826468,17.390615463256836,76,51.0806884765625
2670,4315630.723407604,3161288.075406096,3.7896296977996826,54,75.83241271972656
2671,4315730.74893259,3161286.7076336406,9.504485130310059,63,67.60924530029297
2672,4315830.774442198,3161285.339865277,5.161564826965332,57,78.03563690185547
2673,4315930.799936395,3161283.9721010104,0.17246316373348236,48,83.913726806640625
2674,4316030.825415154,3161282.6043408397,8.031954765319824,62,60.29111862182617
2675,4316130.850878442,3161281.236584764,6.468165397644043,62,52.07452392578125
2676,4316230.876326226,3161279.8688327847,8.419294357299805,58,59.380157470703125
2677,4316330.901758479,3161278.5010849014,6.350396156311035,73,80.09327697753906
2678,4316430.927175169,3161277.133341112,2.998966932296753,50,75.6209716796875
